"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"rosadelauro","140519774","rosadelauro","Rosa DeLauro","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class and those in need. Account maintained by staff.",14883,3865,2533,"Wed May 05 18:11:32 +0000 2010","New Haven, CT","00281","D000216","Rosa L. DeLauro","F","Congress","Democrat"
"roslehtinen","14275291","RosLehtinen","Ileana Ros-Lehtinen","Blessed to rep beautiful South Florida and the wonderful folks who live here!",70836,16903,1333,"Tue Apr 01 14:59:30 +0000 2008","Miami, Florida","00985","R000435","Ileana Ros-Lehtinen","F","Congress","Republican"
"royblunt","21269970","RoyBlunt","Senator Roy Blunt","Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.",35779,5099,6836,"Thu Feb 19 02:58:03 +0000 2009","Missouri","01464","B000575","Roy Blunt","M","Congress","Republican"
"rushlimbaugh","342887079","rushlimbaugh","Rush Limbaugh","The Genuine Twitter feed of Rush Limbaugh. The Rush Limbaugh Show is America's most listened to radio talk show, broadcast on over 600 radio stations.",450037,1162,0,"Tue Jul 26 18:49:34 +0000 2011","The EIB Network",NA,NA,NA,NA,"Media Outlets",NA
"samspressshop","249288197","SamsPressShop","Sam Johnson","Faithfully serving the Third Congressional District of Texas.",3686,576,431,"Tue Feb 08 19:01:18 +0000 2011","Third District of Texas","00603","J000174","Sam Johnson","M","Congress","Republican"
"sanfordbishop","249410485","SanfordBishop","Sanford Bishop, Jr.","Proudly representing Georgia's 2nd Congressional District.
Ranking Member of MilCon/VA Approps Subcommittee 
http://t.co/jORrdOYPnj",7337,1142,632,"Wed Feb 09 00:23:10 +0000 2011","Georgia 2nd CD & Washington DC","00091","B000490","Sanford D. Bishop Jr.","M","Congress","Democrat"
"scottwalker","33750798","ScottWalker","Scott Walker","45th Governor of Wisconsin - Moving Wisconsin Forward

#WIforward #Badgers #GoPackGo",135452,6303,188,"Tue Apr 21 01:15:16 +0000 2009","Wauwatosa, WI",NA,NA,NA,NA,"Primary Candidate","Republican"
"seanhannity","41634520","seanhannity","Sean Hannity","",1123327,26115,6066,"Thu May 21 17:41:12 +0000 2009","NYC",NA,NA,NA,NA,"Media Outlets",NA
"sen_joemanchin","234374703","Sen_JoeManchin","Senator Joe Manchin","I proudly serve the people of West Virginia. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",29942,2845,609,"Wed Jan 05 14:13:33 +0000 2011","","01983","M001183","Joe Manchin, III","M","Congress","Democrat"
"senalexander","76649729","SenAlexander","Sen. Lamar Alexander","Follow Sen. Alexander in TN, in DC, and in the news.",28370,1795,409,"Wed Sep 23 13:58:50 +0000 2009","","01695","A000360","Lamar Alexander","M","Congress","Republican"
"senatorbaldwin","1074518754","SenatorBaldwin","Sen. Tammy Baldwin","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",14317,4337,1067,"Wed Jan 09 18:29:44 +0000 2013","Washington, D.C.","01558","B001230","Tammy Baldwin","F","Congress","Democrat"
"senatorbarb","132278386","SenatorBarb","Barbara Mikulski","U.S. Senator for Maryland",36934,3898,88,"Mon Apr 12 20:06:38 +0000 2010","Baltimore, MD/Washington DC","00802","M000702","Barbara A. Mikulski","F","Congress","Democrat"
