"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"ronwyden","250188760","RonWyden","Ron Wyden","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjcD79",428906,6920,396,"Thu Feb 10 16:08:15 +0000 2011","Oregon","W000779","01247","Ron Wyden","M","Congress","Democrat",NA,"senronwyden","sen"
"rosadelauro","140519774","rosadelauro","Rosa DeLauro","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class & those in need. Tweets from Rosa are signed -Rosa",35932,6240,4256,"Wed May 05 18:11:32 +0000 2010","New Haven, CT","D000216","00281","Rosa L. DeLauro","F","Congress","Democrat","CongresswomanRosaDeLauro","rosadelauro","rep"
"roslehtinen","14275291","RosLehtinen","Ileana Ros-Lehtinen","Blessed to rep beautiful South Florida and the wonderful folks who live here!",127046,29559,2954,"Tue Apr 01 14:59:30 +0000 2008","Miami, Florida","R000435","00985","Ileana Ros-Lehtinen","F","Congress","Republican","iroslehtinen","IleanaRosLehtinen","rep"
"royblunt","21269970","RoyBlunt","Senator Roy Blunt","Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.",85559,10107,7077,"Thu Feb 19 02:58:03 +0000 2009","Missouri","B000575","01464","Roy Blunt","M","Congress","Republican","SenatorBlunt","SenatorBlunt","sen"
"samspressshop","249288197","SamsPressShop","Sam Johnson","Faithfully serving the Third Congressional District of Texas.",10711,1199,139,"Tue Feb 08 19:01:18 +0000 2011","Third District of Texas","J000174","00603","Sam Johnson","M","Congress","Republican","RepSamJohnson","RepSamJohnson","rep"
"sanfordbishop","249410485","SanfordBishop","Sanford Bishop, Jr.","Proudly representing Georgia's 2nd Congressional District. Ranking Member of House Appropriations Subcommittee on Agriculture  https://t.co/gQh6pvYihy",17308,1806,783,"Wed Feb 09 00:23:10 +0000 2011","Georgia 2nd CD & Washington DC","B000490","00091","Sanford D. Bishop, Jr.","M","Congress","Democrat","sanfordbishop","RepSanfordBishop","rep"
"sarahpalinusa","65493023","SarahPalinUSA","Sarah Palin","Former Governor of Alaska and GOP Vice Presidential Nominee. Tweets by Sarah Palin signed - SP",1468467,14009,138,"Thu Aug 13 22:56:16 +0000 2009","Alaska",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"seanhannity","41634520","seanhannity","Sean Hannity","TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DM’s!",3656709,38507,7175,"Thu May 21 17:41:12 +0000 2009","NYC",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"sen_joemanchin","234374703","Sen_JoeManchin","Senator Joe Manchin","I proudly serve the people of West Virginia. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",152644,5158,730,"Wed Jan 05 14:13:33 +0000 2011","","M001183","01983","Joe Manchin, III","M","Congress","Democrat","JoeManchinIII","SenatorJoeManchin","sen"
"senalexander","76649729","SenAlexander","Sen. Lamar Alexander","Follow Sen. Alexander in TN, in DC, and in the news.",83469,4761,435,"Wed Sep 23 13:58:50 +0000 2009","","A000360","01695","Lamar Alexander","M","Congress","Republican","senatorlamaralexander","lamaralexander","sen"
"senangusking","1068481578","SenAngusKing","Senator Angus King","News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.",195572,3521,546,"Mon Jan 07 14:52:27 +0000 2013","","K000383","02185","Angus S. King, Jr.","M","Congress","Independent","SenatorAngusSKingJr","SenatorAngusKing","sen"
"senatedems","73238146","SenateDems","Senate Democrats","News from leadership staff of Senate Democrats.",750259,16567,2404,"Thu Sep 10 22:26:03 +0000 2009","Washington, DC",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"senategop","14344823","SenateGOP","Senate Republicans","News and updates from Republican senators and their staff.",639203,22154,31222,"Wed Apr 09 19:42:03 +0000 2008","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"senatemajldr","1249982359","SenateMajLdr","Leader McConnell","U.S. Senate Majority Leader Mitch McConnell",578620,3190,93,"Thu Mar 07 20:21:15 +0000 2013","Washington, DC",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"senatorbaldwin","1074518754","SenatorBaldwin","Sen. Tammy Baldwin","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",96527,11876,2672,"Wed Jan 09 18:29:44 +0000 2013","Washington, D.C.","B001230","01558","Tammy Baldwin","F","Congress","Democrat","senatortammybaldwin","witammybaldwin","sen"
"senatorburr","21157904","SenatorBurr","Richard Burr","U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",125120,3529,1828,"Wed Feb 18 01:53:03 +0000 2009","Winston-Salem, NC","B001135","00153","Richard Burr","M","Congress","Republican","SenatorRichardBurr","SenatorRichardBurr","sen"
"senatorcantwell","117501995","SenatorCantwell","Sen. Maria Cantwell","U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook: https://t.co/qLmMk10nJI RT≠endorsement",219522,6271,1565,"Thu Feb 25 19:21:52 +0000 2010","Washington, DC","C000127","00172","Maria Cantwell","F","Congress","Democrat","senatorcantwell","SenatorCantwell","sen"
"senatorcardin","109071031","SenatorCardin","Senator Ben Cardin","U.S. Senator for Maryland. #SavetheBay. Small Biz, Foreign Relations, Finance, Enviro committees. https://t.co/Rwn7M4xbXO",236244,9629,2719,"Wed Jan 27 22:03:53 +0000 2010","Maryland, USA","C000141","00174","Benjamin L. Cardin","M","Congress","Democrat","senatorbencardin","senatorcardin","sen"
"senatorcarper","249787913","SenatorCarper","Senator Tom Carper","Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and ranking member @EPWDems",83382,7158,1332,"Wed Feb 09 19:46:42 +0000 2011","Delaware","C000174","00179","Thomas R. Carper","M","Congress","Democrat","tomcarper","senatorcarper","sen"
"senatorcollins","19726613","SenatorCollins","Sen. Susan Collins","United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",383624,2777,949,"Thu Jan 29 18:56:59 +0000 2009","Maine","C001035","01541","Susan M. Collins","F","Congress","Republican","susancollins","SenatorSusanCollins","sen"
"senatordurbin","247334603","SenatorDurbin","Senator Dick Durbin","Serving the people of Illinois. Democratic Whip.",544085,11951,2420,"Fri Feb 04 15:50:42 +0000 2011","","D000563","00326","Richard J. Durbin","M","Congress","Democrat","SenatorDurbin","SenatorDurbin","sen"
"senatorenzi","291756142","SenatorEnzi","Mike Enzi","Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly fishing are two.)",69420,3969,607,"Mon May 02 15:26:39 +0000 2011","","E000285","01542","Michael B. Enzi","M","Congress","Republican","mikeenzi","senatorenzi","sen"
"senatorfischer","1071402577","SenatorFischer","Senator Deb Fischer","U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington",61149,4666,192,"Tue Jan 08 16:49:07 +0000 2013","","F000463","02179","Deb Fischer","F","Congress","Republican","senatordebfischer","senatordebfischer","sen"
"senatorhassan","946549322","SenatorHassan","Sen. Maggie Hassan","New England sports fan, mom, crossword enthusiast, former governor, U.S. Senator for New Hampshire.",137298,6074,531,"Tue Nov 13 21:27:37 +0000 2012","","H001076",NA,"Margaret Wood Hassan","F","Congress","Democrat","SenatorHassan",NA,"sen"
"senatorheitkamp","1061029050","SenatorHeitkamp","Sen. Heidi Heitkamp","Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/ZCl7NIcTbR Instagram: https://t.co/SXzn7kNVUs",78456,11285,824,"Fri Jan 04 17:57:48 +0000 2013","","H001069","02174","Heidi Heitkamp","F","Congress","Democrat","SenatorHeidiHeitkamp","senatorheidiheitkamp","sen"
"senatorisakson","78403308","SenatorIsakson","Johnny Isakson","U.S. Senator Johnny Isakson, R-Ga. | Committees: Veterans' Affairs, Chairman; Ethics, Chairman; Foreign Relations; HELP; Finance.
Keep comments family friendly.",56082,5009,441,"Tue Sep 29 20:09:30 +0000 2009","GA & DC","I000055","01608","Johnny Isakson","M","Congress","Republican",NA,"SenatorIsakson","sen"
"senatorlankford","225921757","SenatorLankford","Sen. James Lankford","Serving the State of Oklahoma in the United States Senate",65231,5432,419,"Sun Dec 12 20:33:07 +0000 2010","Oklahoma and Washington, DC","L000575","02050","James Lankford","M","Congress","Republican","SenatorLankford","SenatorLankford","sen"
"senatorleahy","242836537","SenatorLeahy","Sen. Patrick Leahy","",139539,13134,2437,"Tue Jan 25 18:20:07 +0000 2011","Washington, DC","L000174","01383","Patrick J. Leahy","M","Congress","Democrat","SenatorPatrickLeahy","SenatorPatrickLeahy","sen"
"senatormenendez","18695134","SenatorMenendez","Senator Bob Menendez","Progressive New Jersey Senator fighting 4 #healthcare, #ACA, consumers, immigration reform/#DACA, democracy, diplomacy. Proud 2 work w/ @CoryBooker. #NJPolitics",144821,8117,953,"Tue Jan 06 21:01:12 +0000 2009","New Jersey, USA","M000639","00791","Robert Menendez","M","Congress","Democrat","senatormenendez","SenatorMenendezNJ","sen"
"senatorrisch","1096059529","SenatorRisch","Jim Risch","",58138,1272,186,"Wed Jan 16 18:58:23 +0000 2013","Boise","R000584","01896","James E. Risch","M","Congress","Republican",NA,"SenatorJamesRisch","sen"
